id_documento,folio,id_direccion,Observaciones,,,,,,,,,,
9660,1148-2022,13,,,,,,,,,,,
9661,1150-2022,13,,,,,,,,,,,
9662,1151-2022,13,,,,,,,,,,,
9663,1152-2022,13,,,,,,,,,,,
9664,1153-2022,10,,,,,,,,,,,
9669,1154-2022,13,,,,,,,,,,,
9673,1155-2022,18,,,,,,,,,,,
9674,1156-2022,13,,1157-2022,13,,,,,,,,
9675,1149-2022,10,,,,,,,,,,,
9680,1158-2022,13,,,,,,,,,,,
9684,1159-2022,13,,,,,,,,,,,
9685,1161-2022,13,,,,,,,,,,,
9687,1160-2022,8,,,,,,,,,,,
9688,1162-2022,10,,,,,,,,,,,
9690,DGRDC-0028-2022,,,,,,,,,,,,
9692,1163-2022,50,,,,,,,,,,,
9693,1164-2022,50,,1165-2022,13,,,,,,,,
9704,NULL,,,,,,,,,,,,
9708,1166-2022,13,,,,,,,,,,,
9710,1167-2022,13,,,,,,,,,,,
9713,1168-2022,13,,,,,,,,,,,
9714,1169-2022,13,,1170-2022,13,,,,,,,,
9718,1171-2022,16,,,,,,,,,,,
9724,1172-2022,13,,,,,,,,,,,
9725,1173-2022,15,,,,,,,,,,,
9738,1174-2022,13,,,,,,,,,,,
9741,NULL,,,,,,,,,,,,
9742,1176-2022,13,,,,,,,,,,,
9745,1175-2022,13,,,,,,,,,,,
9746,1177-2022,16,,,,,,,,,,,
9748,NULL,,,,,,,,,,,,
9750,1181-2022,13,,,,,,,,,,,
9751,1180-2022,13,,,,,,,,,,,
9752,1179-2022,13,,,,,,,,,,,
9753,1178-2022,13,,,,,,,,,,,
9759,1182-2022,13,,,,,,,,,,,
9760,1183-2022,13,,,,,,,,,,,
9761,1184-2022,13,,1185-2022,8,1186-2022,13,1187-2022,13,1188-2022,8,1189-2022,16
9773,1190-2022,13,,,,,,,,,,,
9774,1191-2022,13,,,,,,,,,,,
9776,1192-2022,16,,,,,,,,,,,
9777,1193-2022,16,,,,,,,,,,,
9779,1194-2022,13,,,,,,,,,,,
9782,1195-2022,10,,,,,,,,,,,
9785,DGRDC-0029-2022,,,,,,,,,,,,
9787,1196-2022,13,,,,,,,,,,,
9788,1197-2022,18,,,,,,,,,,,
9789,1198-2022,13,,,,,,,,,,,
9790,1199-2022,10,,,,,,,,,,,
9797,1200-2022,13,,,,,,,,,,,
9802,NULL,,,,,,,,,,,,
9804,1201-2022,13,,,,,,,,,,,
9805,1202-2022,13,,,,,,,,,,,
9820,1203-2022,11,,,,,,,,,,,
9821,1205-2022,13,,,,,,,,,,,
9825,1204-2022,16,,,,,,,,,,,
9827,1206-2022,11,,,,,,,,,,,
9841,1207-2022,13,,,,,,,,,,,
9842,1212-2022,13,,,,,,,,,,,
9843,1208-2022,8,,,,,,,,,,,
9844,1209-2022,13,,,,,,,,,,,
9845,1210-2022,8,,,,,,,,,,,
9846,1211-2022,16,,,,,,,,,,,
9849,1213-2022,13,,,,,,,,,,,
9859,1218-2022,16,,1219-2022,10,,,,,,,,
9861,1214-2022,16,,,,,,,,,,,
9866,NULL,,,,,,,,,,,,
9869,1215-2022,13,,,,,,,,,,,
9870,1216-2022,13,,,,,,,,,,,
9872,1217-2022,8,,,,,,,,,,,
9875,1220-2022,13,,,,,,,,,,,
9876,1221-2022,13,,,,,,,,,,,
9877,1222-2022,13,,,,,,,,,,,
9878,1223-2022,13,,,,,,,,,,,
9886,1224-2022,16,,,,,,,,,,,
9921,1225-2022,13,,,,,,,,,,,
9922,1226-2022,13,,,,,,,,,,,
9923,DGRDC-0030-2022,,,,,,,,,,,,
9927,1227-2022,18,,,,,,,,,,,
9930,1239-2022,18,,,,,,,,,,,
9932,1228-2022,8,,,,,,,,,,,
9933,1229-2022,10,,,,,,,,,,,
9934,1230-2022,16,,,,,,,,,,,
9935,1231-2022,15,,,,,,,,,,,
9936,1232-2022,15,,,,,,,,,,,
9938,1233-2022,13,,,,,,,,,,,
9944,1234-2022,16,,,,,,,,,,,
9945,1235-2022,13,,,,,,,,,,,
9946,DGAR-1350-2022,,,,,,,,,,,,
9947,1236-2022,13,,,,,,,,,,,
9948,1237-2022,15,,,,,,,,,,,
9949,1238-2022,13,,,,,,,,,,,
9950,1240-2022,13,,,,,,,,,,,
9951,1241-2022,13,,,,,,,,,,,
9952,1243-2022,13,,,,,,,,,,,
9954,1244-2022,11,,,,,,,,,,,
9955,1242-2022,13,,,,,,,,,,,
9956,1246-2022,8,con otra copia,,,,,,,,,,
9958,1245-2022,10,,,,,,,,,,,
9961,1247-2022,13,,,,,,,,,,,
9962,1248-2022,13,,,,,,,,,,,
9963,1249-2022,13,,,,,,,,,,,
9966,1250-2022,13,,,,,,,,,,,
9969,1251-2022,18,,,,,,,,,,,
9970,1256-2022,13,,,,,,,,,,,
9971,NULL,,,,,,,,,,,,
9972,NULL,,,,,,,,,,,,
9973,1252-2022,10,,,,,,,,,,,
9976,1253-2022,11,,,,,,,,,,,
9977,1254-2022,13,,,,,,,,,,,
9978,1255-2022,13,,,,,,,,,,,
9979,1257-2022,8,,,,,,,,,,,
9982,1258-2022,13,,,,,,,,,,,
9983,1259-2022,13,,,,,,,,,,,
9984,1260-2022,13,,,,,,,,,,,
9985,1261-2022,13,,,,,,,,,,,
9986,1268-2022,50,,,,,,,,,,,
9989,1262-2022,10,,,,,,,,,,,
9990,1263-2022,13,,,,,,,,,,,
9991,1264-2022,8,,,,,,,,,,,
9992,1265-2022,8,,,,,,,,,,,
9994,1266-2022,13,,,,,,,,,,,
9998,1267-2022,,,,,,,,,,,,
9999,1271-2022,8,,,,,,,,,,,
10000,1269-2022,16,,,,,,,,,,,
10002,1270-2022,,,,,,,,,,,,
10010,1272-2022,8,,,,,,,,,,,
10016,NULL,,,,,,,,,,,,
10017,1273-2022,16,,,,,,,,,,,
10027,NULL,,,,,,,,,,,,
10028,1274-2022,13,,,,,,,,,,,
10029,1275-2022,13,,,,,,,,,,,
10030,1276-2022,9,,,,,,,,,,,
10031,1277-2022,16,,,,,,,,,,,
10033,NULL,,,,,,,,,,,,
10035,NULL,,,,,,,,,,,,
10037,1280-2022,,,,,,,,,,,,
10039,1281-2022,,,,,,,,,,,,
10041,1284-2022,,,,,,,,,,,,
10042,0002-2022,,,,,,,,,,,,
10043,1285-2022,,,,,,,,,,,,
