"CCT","longitud","latitud","tipo","gob","nombre","alcaldia","cp"
"09DPR2666E","-98.99759722","19.17547778","Primaria","Federal","Francisco Del Olmo","Milpa Alta","12400"
"09DPR2669B","-99.004025","19.27011667","Primaria","Federal","Profr. Narciso Ramos Galicia","Tláhuac","13040"
"09DPR2670R","-99.02920556","19.29536944","Primaria","Federal","Sostenes Nicolas Chapa Nieto","Tláhuac","13360"
"09DPR2671Q","-99.24572778","19.36144444","Primaria","Federal","Profra. Beatriz Avila Garcia","Álvaro Obregón","1530"
"09DPR2672P","-99.12488056","19.50883056","Primaria","Federal","Jesus Carlos Romero Villa","Gustavo A. Madero","7360"
"09DPR2673O","-99.13305833","19.56748611","Primaria","Federal","Profr. Ramon Andrade Carmona","Gustavo A. Madero","7110"
"09DPR2674N","-99.13798611","19.52011389","Primaria","Federal","Rabindranath Tagore","Gustavo A. Madero","7340"
"09DPR2675M","-99.23513611","19.27704444","Primaria","Federal","Profr. Victor Manuel Manzano Delgado","Tlalpan","14109"
"09DPR2676L","-99.23513611","19.27704444","Primaria","Federal","Profr. Victor Manuel Manzano Delgado","Tlalpan","14109"
"09DPR2677K","-99.06315556","19.45090556","Primaria","Federal","Coronel Silvestre Lopez","Gustavo A. Madero","7920"
"09DPR2678J","-99.15815278","19.31206944","Primaria","Federal","Profr. Alfredo Basurto Garcia","Coyoacán","4600"
"09DPR2680Y","-99.01268889","19.34476389","Primaria","Federal","Hermanos Serdan","Iztapalapa","9600"
"09DPR2681X","-99.14220278","19.536725","Primaria","Federal","Profr. Roberto Martinez Flores","Gustavo A. Madero","7200"
"09DPR2682W","-99.08966389","19.47010278","Primaria","Federal","Profr. Antonio I. Delgado Casarrubias","Gustavo A. Madero","7920"
"09DPR2683V","-99.15920278","19.33361111","Primaria","Federal","Profr. Ruben Vizcarra Y Campos","Coyoacán","4369"
"09DPR2684U","-99.12378611","19.24819167","Primaria","Federal","Cristobal Colon","Xochimilco","16200"
"09DPR2685T","-99.10164722","19.34538333","Primaria","Federal","Xochicalco","Iztapalapa","9240"
"09DPR2686S","-99.08515","19.33896389","Primaria","Federal","Carlos Darwin","Iztapalapa","9850"
"09DPR2687R","-99.20903611","19.36828889","Primaria","Federal","Zambia","Álvaro Obregón","1480"
"09DPR2694A","-99.17242778","19.52586111","Primaria","Federal","Alfonso Pruneda","Gustavo A. Madero","7620"
"09DPR2695Z","-99.15914722","19.32554444","Primaria","Federal","Netzahualcoyotl","Coyoacán","4300"
"09DPR2696Z","-99.15773611","19.35002778","Primaria","Federal","Melchor Ocampo","Coyoacán","4020"
"09DPR2701U","-99.16410556","19.43022778","Primaria","Federal","Las Tres Americas","Cuauhtémoc","6500"
"09DPR2702T","-99.09965833","19.50532778","Primaria","Federal","Profr. Teodomiro Manzano Campero","Gustavo A. Madero","7080"
